ID	logFC
MMS19	0.25863647
PKD2L1	-3.459946
KAZALD1	0.95926
NFKB2	-0.9022522
NT5C2	0.422739
NEURL	0.8982634
LOC100505839	1.5996097
MIR4482-1	3.9142053
MXI1	-0.92186356
GPAM	0.4768929
HABP2	2.731471
SLC18A2	-1.2111977
FAM45B	0.6166053
DMBT1	1.9917601
FAM24B	-4.363847
LOC399815	-2.2978795
PTPRE	-1.3296647
PWWP2B	0.99847746
ADAM8	-2.689746
SIRT3	0.60239214
NLRP6	-4.4042645
IRF7	-1.529748
TMEM80	-0.8172541
LOC255512	-1.0926018
TNNI2	-2.4243097
LSP1	-3.4705667
IGF2-AS1	4.4273534
TRPM5	-2.7863195
CDKN1C	2.758998
TRIM21	0.8016281
HBB	-10.249806
TRIM22	-1.4943686
CCKBR	3.5549698
FXC1	0.5605135
GVINP1	-4.5715456
ZNF214	1.8106546
CYB5R2	1.321024
SWAP70	-1.1255826
ADM	-1.7852745
AMPD3	-1.8034323
MRVI1-AS1	-2.701251
CALCB	-3.4054508
NUCB2	-0.48048785
PTPN5	-3.28101
NELL1	4.361746
BBOX1	4.1094623
CCDC34	1.3767166
LGR4	0.95031923
BDNF-AS1	0.50733423
WT1	5.2127414
WT1-AS	2.589449
TCP11L1	-0.9984884
GYLTL1B	1.368772
CHRM4	-2.0777955
SPI1	-4.0014496
NUP160	0.5302171
FOLH1	-12.030418
SLC43A1	1.1237841
SERPING1	-0.956645
YPEL4	-2.0772614
LPXN	-2.2600794
GLYATL1	4.236701
MPEG1	-7.5165434
MS4A2	-6.7425637
MS4A14	-3.3334882
MS4A1	-5.4134197
MS4A10	-7.45601
PTGDR2	-2.24115
PRPF19	0.27405646
SLC15A3	-1.9626608
CD6	-6.262906
CD5	-6.579535
SYT7	-0.79091597
GNG3	-3.4484317
TAF6L	0.26737207
LGALS12	-3.9222293
RARRES3	-2.2279577
HRASLS2	-5.237017
PLA2G16	-3.1683812
RTN3	-0.34357923
FERMT3	-1.0372123
VEGFB	0.65155125
CCDC88B	-3.0729728
NAALADL1	-3.5425372
TM7SF2	1.3227968
SIPA1	-1.3241137
MIR4489	-1.1369156
CTSW	-4.854645
CTSF	-8.959828
TBC1D10C	-6.9879813
PTPRCAP	-3.6928968
CABP4	-3.0998528
GAL	-4.3525734
IL18BP	-2.0232577
PHOX2A	-3.5802002
PDE2A	-1.9984617
STARD10	1.7589941
ATG16L2	-1.5095105
PAAF1	0.6458631
UCP2	-1.6067429
UCP3	-2.6137552
P4HA3	4.0812244
GDPD5	2.0240421
RAB38	1.3449454
NOX4	3.152392
SNORA32	1.4205314
CEP57	0.57428366
BIRC3	-3.977973
CASP1	-1.0686407
CARD16	-1.343379
SLN	2.7896917
ATM	-1.0682592
POU2AF1	-6.494415
ALG9	0.5519047
C11orf57	0.23449893
HTR3A	-4.759095
ZBTB16	-3.2333264
CADM1	-1.3215628
IL10RA	-6.375026
AMICA1	-5.0351486
CD3E	-9.257515
CD3D	-7.9902854
CD3G	-6.5486293
UBASH3B	-1.2784061
CRTAM	-5.074584
ROBO3	-2.1056743
STT3A	0.5324277
DCPS	-0.28319448
ETS1	-1.1986713
LOC100507392	-2.3416982
FLI1	-3.0396862
AKAP3	-0.85011435
CD27	-5.4548793
ACRBP	-3.1240816
LAG3	-4.490516
CD4	-1.7349424
USP5	0.34281352
PTPN6	-1.313343
C1RL	0.5597906
RBP5	-3.1272955
CD163L1	-7.1662025
CD163	-5.3498077
CLEC4A	-3.28494
POU5F1P3	-2.1749163
FAM90A1	-2.4691186
CLEC4E	-5.0288153
A2M	-0.97563267
PZP	-2.0229955
LOC100499405	-1.3922518
KLRB1	-8.73371
CLECL1	-3.5835056
CD69	-6.4425397
CLEC12A	-4.2460938
CLEC9A	-5.5614705
CLEC7A	-5.970294
C12orf59	4.6696157
GABARAPL1	-0.77350706
KLRD1	-6.5037413
KLRC4	-2.2743971
KLRC2	-3.1145272
KLRC1	-4.162008
CREBL2	-0.774931
GPRC5D	-3.9393802
LOC100506314	-3.930842
PLBD1	-1.384635
ERP27	4.520163
ARHGDIB	-3.2165208
PLEKHA5	0.79423714
LDHB	1.5423918
LRMP	-1.601552
BHLHE41	1.8848596
ARNTL2	1.2688074
TMTC1	-2.3364391
ABCD2	-1.7649703
IRAK4	-1.4968866
SLC38A4	3.9508348
LOC100233209	-3.5535655
RAPGEF3	-1.621315
VDR	-2.2688522
COL2A1	8.100092
WNT10B	-3.8823814
DHH	-2.4148426
PRPH	-3.9476001
SLC11A2	0.686675
TFCP2	-0.97351736
BIN2	-6.035225
SCN8A	1.8255332
GRASP	-1.4825072
SPRYD3	-0.85884005
ITGB7	-7.1775346
NCKAP1L	-4.1175575
KIAA0748	-5.5557213
CDK2	0.87232774
MYL6B	1.3895783
HSD17B6	-3.0856035
TAC3	-2.435708
ARHGAP9	-5.058901
KIF5A	-6.1245756
AGAP2	-3.1864972
CDK4	1.3365889
9-Mar	0.6258269
AVIL	-1.4998088
PPM1H	0.9941334
GNS	1.1998672
TBC1D30	0.8473463
HMGA2	3.5772972
HELB	-2.6478777
CAND1	0.38792607
CNOT2	0.37706274
ATXN7L3B	0.46131992
TMTC3	0.69126695
PLEKHG7	-1.5434963
SOCS2	-2.5643272
AMDHD1	1.880089
TMPO	0.3527412
NR1H4	1.4983006
ANO4	2.9513464
PARPBP	1.4617742
PAH	7.783371
CHST11	-1.6357282
CMKLR1	-2.7570395
SELPLG	-4.6838117
USP30	0.7785797
SH2B3	-1.8197832
OAS2	-3.1920948
SLC24A6	-1.0365944
SDS	-6.0483475
C12orf49	0.8531818
HNF1A-AS1	1.0717521
P2RX7	-2.402593
WDR66	2.3871243
HCAR2	-2.8425732
PITPNM2	-1.4496984
C12orf65	-0.46349093
RILPL2	-1.3021574
LOC387895	-1.9425136
TMEM132D	-1.4438105
IFT88	0.42386723
IL17D	1.3609676
RASL11A	-1.5618129
FLT3	-4.6556954
FLT1	-4.184135
LINC00426	-3.5694623
ALOX5AP	-3.1477222
N4BP2L1	-1.2842126
KL	-2.6110206
RFC3	0.8458949
MAB21L1	-4.221878
NHLRC3	0.7332296
FOXO1	-1.2287717
EPSTI1	1.1074114
LACC1	-1.4309182
SLC25A30	-0.5847554
LCP1	-7.1780925
KIAA0226L	-2.9240668
ARL11	-3.2367535
DLEU1	0.79889774
ST13P4	0.40361357
WDFY2	-0.6434736
THSD1P1	0.6186037
EDNRB	-1.2337475
UGGT2	1.132257
GPR18	-4.49696
GPR183	-2.763023
EFNB2	-1.1657065
TNFSF13B	-3.3139935
F7	2.1252747
F10	1.6617012
GAS6	-1.0155401
FLJ41484	-3.3935163
KLHL33	-2.0331562
RPGRIP1	-2.469188
CEBPE	-4.856165
CPNE6	-5.8299108
REC8	1.6854105
ADCY4	-2.691368
CMA1	-4.6086016
CTSG	-7.241953
GZMH	-3.9633834
GZMB	-4.77938
NFKBIA	-1.4914474
FOXA1	1.9499445
LOC283547	-2.079703
SAV1	-0.48595616
PTGDR	-3.2086432
PTGER2	-1.2027731
C14orf105	5.0366426
PRKCH	-3.7628493
HSPA2	-2.362505
GPX2	-1.3231697
SLC8A3	-3.0930057
SYNDIG1L	-3.5822659
FOS	-4.397629
LOC731223	-1.9249161
BATF	-4.164377
C14orf1	0.8744983
GPR65	-4.116712
KCNK13	-3.027557
RPS6KA5	-0.83902544
SLC24A4	-3.9580002
CHGA	1.2318009
PRIMA1	-2.2609768
IFI27	-4.3484282
SERPINA10	3.8389368
SERPINA4	6.544178
SERPINA5	2.4890761
C14orf64	-2.9030998
EVL	-0.7815399
WARS	-0.8155698
BEGAIN	-1.3504562
DLK1	7.671629
DIO3OS	3.369842
MIR1247	3.470131
DIO3	4.3856907
PPP2R5C	-0.36229995
HSP90AA1	-0.38897032
GPR132	-4.8506546
KIAA0125	-5.7553062
PWRN1	2.8694963
FAM189A1	-3.4589586
MTMR10	-0.83045095
OTUD7A	-3.9263136
RASGRP1	-2.221406
PLCB2	-3.3100753
C15orf62	1.0050378
OIP5-AS1	-0.416768
OIP5	0.82696056
TYRO3	1.0137743
PLA2G4E	2.6114304
CASC4	0.73877335
SLC30A4	-2.5109262
CTXN2	-1.9906749
ATP8B4	-1.9780998
HDC	-5.0818753
MYO5A	-2.2412906
RAB27A	-0.83036226
ZNF280D	-0.9115639
AQP9	-3.8681188
LIPC	-2.547122
BNIP2	-0.54551506
RORA	-1.6333437
RAB8B	-1.211769
APH1B	0.91708946
SNX1	-0.21944433
CLN6	0.27277654
CD276	1.3157405
PSTPIP1	-3.9834027
SH2D7	-1.2913951
DNAJA4	-2.1560817
IREB2	0.6121931
CHRNA5	-1.1834215
C15orf37	1.416534
BCL2A1	-3.1287436
MESDC1	-0.7117176
IL16	-3.8224645
TM6SF1	-1.5206847
ACAN	3.7873247
ARRDC4	1.6562662
LYSMD4	0.8607674
ALDH1A3	-1.7367468
HBA2	-7.8900933
HBA1	-6.1946974
RGS11	-3.86168
ARHGDIG	-6.167588
FBXL16	-3.025689
MSLN	3.7881393
LMF1	-0.6016221
TPSB2	-8.957847
TPSAB1	-8.966349
TPSD1	-3.7806427
UBE2I	0.44850162
TMEM204	-1.1180124
SYNGR3	-3.575245
ABCA17P	-1.7173976
PRSS22	2.619285
CLDN6	6.159239
MMP25	-2.584785
MEFV	-4.952757
NLRC3	-3.1607838
GRIN2A	-3.1414835
ATF7IP2	1.9835978
EMP2	-1.0659761
CIITA	-7.485716
SHISA9	-4.6070666
ABCC6P1	1.5536509
ACSM5	-3.0769691
ACSM1	-3.8439116
LOC81691	0.5318188
DCUN1D3	0.9369897
LYRM1	0.7483558
LOC100271836	-1.4168358
HS3ST2	-1.6749164
PALB2	0.4292707
AQP8	7.532296
NSMCE1	-1.1984744
IL21R	-4.111427
CLN3	1.116105
CD19	-5.1893454
SPNS1	0.40477946
LAT	-2.844759
RRN3P2	-1.8468574
SPN	-5.660224
QPRT	1.4458561
C16orf54	-2.7489767
SEZ6L2	2.3904877
ASPHD1	2.210145
HIRIP3	-0.7036743
CORO1A	-5.4258156
1-Sep	-3.7134538
ITGAL	-5.9516296
ZNF764	0.6013965
ITGAM	-5.3858547
ITGAX	-6.366662
C16orf87	0.45035747
SNX20	-4.777765
NOD2	-2.499114
CYLD	-1.1828747
MT2A	-3.2774615
MT1E	-3.4907131
MT1M	-6.5628653
MT1A	-4.102187
MT1F	-2.7947135
MT1G	-4.2370725
MT1H	-5.33099
NLRC5	-2.9814272
CCL22	-5.575321
GPR114	-1.7036281
GPR56	1.8593044
GPR97	-6.648526
SLC38A7	1.1063442
TK2	-0.99892426
NOL3	-1.664475
TPPP3	-1.4801936
RLTPR	-5.6632957
GFOD2	-1.0774269
DPEP3	-2.3629696
DPEP2	-4.142842
ESRP2	0.97156906
PLA2G15	0.90249294
TMCO7	-1.3182068
HAS3	-3.4986377
IL34	-1.3889703
CALB2	-4.457904
ZNF19	0.8298817
ZNF821	0.8734112
HP	-3.0082073
MLKL	-1.9930468
CLEC3A	5.1941495
PKD1L2	-3.1961002
BCMO1	-2.507081
PLCG2	-1.5569754
SDR42E1	-7.395871
NECAB2	-2.8250546
DNAAF1	-2.232121
ADAD2	-2.5443046
WFDC1	1.4752922
COTL1	-1.3697928
IRF8	-1.924262
FBXO31	-0.6933079
KLHDC4	-0.44079593
SNAI3	-2.800568
CBFA2T3	-1.9216795
SLC22A31	-3.9263287
CPNE7	-3.661851
DEF8	-0.36904055
GAS8	-1.6829252
DOC2B	-3.4463036
FAM57A	0.2834931
SERPINF2	3.1031208
RPA1	0.27609542
ASPA	-2.4796147
CTNS	0.6950554
P2RX5	-5.203564
ALOX15	-5.3879385
VMO1	-2.6156738
INCA1	0.5801634
ZFP3	-1.7281647
ZNF232	0.7173982
SCIMP	-4.813655
NLRP1	-3.7888098
SLC13A5	5.490966
XAF1	-1.4647503
ALOX12P2	1.9340069
SLC16A11	-1.8965402
CLEC10A	-8.53449
YBX2	-2.454764
ACAP1	-4.254801
GUCY2D	2.448818
ALOX15B	-3.8469787
ALOX12B	1.3297086
PER1	-2.5414782
VAMP2	-0.46744633
PIK3R5	-5.59179
PIRT	-3.9172158
ARHGAP44	-2.008407
TRPV2	-4.056953
USP32P1	-4.114487
TNFRSF13B	-4.6274586
PLD6	-2.0891218
DRG2	0.5417242
USP32P2	-3.3154087
CCDC144B	-2.7942548
B9D1	1.592267
SLC47A1	-2.2048488
CCDC144NL	2.5808272
C17orf51	-6.8139486
WSB1	0.74431896
TMEM97	1.2957968
VTN	2.2357402
CRLF3	-0.74310637
OMG	-2.734995
EVI2B	-6.444155
EVI2A	-5.7957726
CDK5R1	-2.4882007
CCL8	-4.1529527
CCL13	-5.0363545
SLFN5	-2.153201
SLFN11	-2.0055203
SLFN12L	-3.5767488
CCL5	-9.652654
RDM1	2.3548615
CCL18	-5.6367044
CCL4	-6.1252193
C17orf78	-2.0336676
HNF1B	1.6045094
IKZF3	-5.79261
CCR7	-4.771753
KRT222	-4.208285
KRT13	1.9943115
GAST	5.0457306
LEPREL4	1.0310305
DHX58	-1.0606245
STAT5A	-0.6910906
CCDC43	0.38100052
PLCD3	1.9991426
FMNL1	-4.2275505
MAP3K14	-1.216712
WNT9B	-5.7934914
TBX21	-5.1857586
PNPO	-2.8278422
SKAP1	-5.121675
HOXB9	3.1552978
GNGT2	-3.8245358
ABI3	-4.2926455
CA10	-4.581056
STXBP4	1.7784038
HLF	-2.599011
PCTP	-0.9387455
DGKE	-1.6844634
SCPEP1	1.277026
MSI2	0.8411612
LOC100506779	-1.30089
TBX4	2.293495
ACE	-3.8798828
LIMD2	-1.688694
LOC729683	-1.5674672
CD79B	-4.3639855
MILR1	-3.4369037
DDX5	-0.45120054
SMURF2	-0.8293962
GNA13	-0.678915
APOH	4.0014534
PITPNC1	-2.2519517
KPNA2	0.7965717
ARSG	-1.2343836
ABCA8	-3.7464795
ABCA6	-4.282325
BTBD17	2.7753592
CD300A	-4.0846148
CD300LB	-4.456582
CD300C	-4.154408
CD300LF	-4.210292
TRIM47	-1.3348613
TRIM65	-0.35508582
SRP68	0.31081384
SPHK1	-2.9624424
ST6GALNAC2	-2.189957
JMJD6	-0.9000435
SEC14L1	-1.4720259
TMC8	-3.9198394
C17orf99	5.950403
CYTH1	-1.3654585
SGSH	0.6008939
GCGR	-2.221878
PYCR1	1.2533226
RAC3	1.7057266
DUS1L	-1.1292019
CD7	-6.9095187
SECTM1	-4.7456927
WDR45L	0.39181232
MGC70870	-5.257365
CLUL1	2.3055015
TYMS	1.3582911
EMILIN2	-1.0196285
FLJ35776	-1.2558866
L3MBTL4	-2.4158602
ANKRD20A5P	-2.4673977
C18orf8	-1.5580292
HRH4	-2.2978795
TAF4B	-1.3859987
CHST9	4.2776847
TTR	3.882578
RNF125	-3.4225864
MEP1B	-6.1278005
KLHL14	-3.1805084
NOL4	3.652702
LOC647946	-2.707237
SLC14A1	-4.6710634
SKA1	0.7314272
RAB27B	1.8478794
CCDC68	-1.9836645
LOC100505549	-1.3684286
KDSR	-0.45825765
SERPINB5	-2.7848563
CDH19	-6.0147133
CD226	-5.0581274
MBP	-0.9951391
GALR1	-2.4592922
KCNG2	-3.0930226
FLJ45445	2.943785
GZMM	-5.956468
CFD	-5.2228274
ARID3A	3.4828496
ABCA7	-2.643137
HMHA1	-3.961237
ATP8B3	-1.256352
AMH	3.1077728
C19orf35	-3.6833172
GADD45B	-2.8516822
GNG7	-1.6370697
DIRAS1	-1.649579
TLE2	1.6459312
S1PR4	-5.5592003
MFSD12	-0.6587896
MATK	-3.4602513
TMIGD2	-5.544594
SH3GL1	0.57544804
PLIN5	-1.6858772
PLAC2	-0.8333823
FUT6	-4.5420194
FUT3	-5.2763233
SLC25A23	-1.0596018
TUBB4A	-4.773473
TNFSF14	-5.311463
VAV1	-5.290894
EMR1	-5.2095385
EMR4P	-4.152452
PNPLA6	-1.2109022
FCER2	-4.48923
CD209	-6.412613
CERS4	2.4934468
PRAM1	-4.2365804
MYO1F	-4.7868633
ZNF558	-7.293275
ZNF561	0.7564163
ZNF562	-4.5376477
ANGPTL6	1.7740903
PPAN	-0.5662851
ICAM1	-1.4475327
ICAM3	-1.5605145
S1PR5	3.0056326
LOC147727	-0.8982191
C19orf38	-1.6472472
RAB3D	1.9442921
EPOR	2.159576
ELAVL3	-3.7373872
ZNF441	-0.9839411
ZNF439	-3.8788898
ZNF69	1.0725207
ZNF44	-0.6284017
FBXW9	0.9415574
PODNL1	1.7367101
ASF1B	0.8841462
EMR3	-4.8697557
EMR2	-5.6469226
RASAL3	-6.7985854
CYP4F24P	-3.493515
TPM4	0.893487
KLF2	-2.3730106
F2RL3	-3.7540689
PLVAP	-3.8944774
BST2	-1.2377462
TMEM221	3.0029314
FCHO1	-2.2014418
JAK3	-3.0240088
ARRDC2	-2.7620454
IL12RB1	-6.142188
PIK3R2	0.981822
JUND	-0.75170046
GDF15	3.4078255
LRRC25	-4.73502
ISYNA1	1.4537228
COMP	6.7579117
CILP2	6.308448
GMIP	-1.1848974
ZNF101	-0.7878743
ZNF682	1.142456
ZNF714	1.2339544
ZNF208	-2.739263
ZNF257	-2.7681327
PLEKHF1	-2.0695972
ANKRD27	-0.17442697
LRP3	1.1764088
SLC7A10	5.459753
CEBPA	2.1311169
SCGB1B2P	-1.7735883
ZNF181	-0.39275736
HPN	7.51231
FXYD3	2.1029453
LGI4	-3.8721619
CD22	-2.2229886
DMKN	1.0551181
ZBTB32	-2.5822659
IGFLR1	-2.565896
HCST	-4.4062395
DPF1	2.3356743
KCNK6	-1.7007241
RASGRP4	-3.9994087
RYR1	-3.347226
MAP4K1	-6.252372
CAPN12	1.7508688
LGALS7B	3.2132308
SARS2	0.48868367
FBXO17	1.7636474
LRFN1	-1.9290771
GMFG	-2.3210268
ZFP36	-2.4970732
CLC	-7.0587535
ZNF546	-1.2516685
PLD3	0.7623625
CYP2B6	2.854827
TGFB1	-1.0204333
CEACAM21	-3.4719453
CEACAM7	5.6552935
CD79A	-7.159174
ARHGEF1	-0.7841263
ATP1A3	-5.0533504
POU2F2	-2.8026743
CNFN	1.7473447
CEACAM20	-4.990161
PVR	1.2531567
CEACAM19	1.2515259
EXOC3L2	-3.1429057
SLC1A5	0.9181213
C5AR1	-3.0302997
GPR77	-3.7476513
PLA2G4C	-3.3593817
CARD8	-0.8581662
BCAT2	0.47156718
HSD17B14	3.1536164
TULP2	-1.571157
NTF4	3.43436
PPFIA3	-2.131102
TRPM4	-2.6139483
CD37	-6.036518
FLT3LG	-1.1904263
SNORD34	-1.6157435
PTOV1	0.32649517
SIGLEC16	-2.8352098
NAPSB	-5.6025863
KLK10	-3.791716
KLK12	-3.95096
KLK13	-2.4095864
SIGLEC7	-4.6870623
SIGLECP3	-5.317028
CD33	-4.445543
NKG7	-7.4105096
SIGLEC10	-4.1871095
SIGLEC8	-5.7760644
SIGLEC6	-4.9416065
SIGLEC5	-3.8117003
SIGLEC14	-4.803652
FPR1	-4.651605
FPR2	-4.0340943
FPR3	-7.604253
ZNF577	-2.2969766
ZNF649	-1.278883
ZNF350	-1.4600611
PPP2R1A	0.37524417
ZNF528	-1.9483271
ZNF816	0.70179707
VSTM1	-3.287719
OSCAR	-3.485884
LILRA6	-2.9201255
LILRB5	-5.1487184
LILRB2	-5.745837
LILRA5	-5.309032
LAIR1	-5.7173758
LILRA1	-3.2880795
LILRB1	-6.576539
LILRB4	-5.4207335
LILRP2	-2.8611248
NCR1	-3.4434516
NLRP2	-7.6298203
ZNF835	-3.7246692
PEG3	-6.282224
ZNF671	-1.2021065
ZNF552	1.123704
ID2	1.7181034
CPSF3	0.34303373
GRHL1	1.996079
RRM2	1.0497351
MYCN	2.9164968
FAM49A	-2.151105
C2orf43	0.88523096
POMC	-5.6961374
OTOF	1.806602
SLC5A6	1.3058653
TRIM54	-4.6984963
BRE	0.24782367
NLRC4	-2.9160886
RASGRP3	-1.506628
LOC375196	-2.8073716
PKDCC	1.7286415
MTA3	0.6954117
KCNK12	-2.4981117
PPP1R21	0.44903463
NRXN1	-3.755303
PNPT1	0.6249528
FANCL	0.5976767
SLC1A4	-0.8710785
ARHGAP25	-3.0880647
CLEC4F	-6.1079955
CD207	-5.413165
PAIP2B	-1.0058789
NOTO	2.647771
SMYD5	0.38049263
FBXO41	-2.707849
TLX2	-2.982062
DOK1	-0.6675454
C2orf65	-2.4886668
REG1A	-7.362286
REG3A	-12.949675
C2orf89	1.0176868
VAMP5	-1.5453477
GNLY	-7.170496
ATOH8	-1.2338495
CD8A	-9.029707
LOC654342	-3.4216516
MAL	-4.9215455
KCNIP3	-3.2534962
DUSP2	-2.6164913
ITPRIPL1	-1.1116867
ARID5A	-1.0847502
ZAP70	-4.5445313
NPAS2	0.6961756
IL1R1	-1.3532791
IL1RL1	-3.501893
IL18RAP	-5.316506
UXS1	0.9078656
SLC5A7	-4.527098
SULT1C2	4.1656103
SULT1C2P1	2.8073144
MERTK	-1.2716751
LOC654433	-4.9148493
DDX11L2	-3.6247368
MARCO	-4.408431
PCDP1	1.6859818
INHBB	-4.310448
BIN1	0.91181374
PROC	3.9324431
GPR39	1.4770508
TMEM163	5.458965
ACMSD	7.3797374
ARHGAP15	-2.4423723
CYTIP	-4.652088
PLA2R1	-0.88150644
SLC4A10	-2.6981056
COBLL1	1.3001366
DHRS9	-2.4104333
KIAA1715	0.44845384
TTC30A	0.8712463
OSBPL6	-1.7988491
CCDC141	-2.2114613
ITGA4	-1.9952726
CERKL	-1.2959632
