gene_name	Adult_1	Adult_2	Adult_3	Infant_1	Spring_1	Spring_2	Spring_3	Spring_4	tHIO_1	tHIO_2	tHIO_3
FBXO6	8.213349	7.500433	8.399931	7.500551	7.4304633	9.195857	7.7990937	7.9220495	8.024755	8.836772	6.8022633
MAD2L2	7.7139196	7.448594	7.6124263	7.960598	7.857278	9.064199	8.000728	8.143627	9.363807	8.955743	8.509216
AGTRAP	7.4192533	7.319861	7.0888643	7.8847823	7.798934	8.278078	7.299167	7.5463862	9.517086	8.272332	8.3919325
MTHFR	9.385095	9.426433	9.585518	8.99466	9.222533	8.425977	9.123081	9.388205	8.889402	9.431348	9.138267
CLCN6	7.7369113	8.135436	7.1678157	8.110137	8.023288	6.6515365	7.991739	8.088803	7.513254	7.764728	7.699693
NPPA-AS1	1.7539176	3.091042	2.0888643	1.7658414	0.49972585	0	3.1292422	1.9390559	1.9586655	1.3896887	0.12983781
NPPA	1.7539176	2.4129703	3.3518987	0.76584136	0.49972585	1.4036089	1.2547731	0	0.95866543	0	0.12983781
KIAA2013	11.648356	11.321062	11.752778	10.42316	11.03937	11.149003	11.009104	10.917051	11.095656	11.511222	11.127723
PLOD1	10.972481	10.942791	10.840408	10.845326	11.429724	11.252753	11.2363405	11.733472	13.59891	11.538165	11.960749
MFN2	11.6750145	11.436447	11.980648	10.83193	10.797215	10.184969	11.192883	11.273329	9.967094	10.641171	10.3598585
MIIP	7.9970913	7.734898	7.60614	7.81569	7.839576	8.778648	7.4180036	7.7269583	8.883478	8.503431	8.609618
TNFRSF8	3.33888	2.4129703	2.574291	3.8533041	1.0846884	2.1405745	1.9917388	2.260984	4.5436277	0	1.1298379
TNFRSF1B	10.601758	10.72131	11.080386	9.85065	8.459728	8.458891	8.588674	8.700607	7.7530813	9.364103	7.9177403
VPS13D	9.931337	10.290714	10.127783	9.889963	10.081868	8.357805	9.914174	10.111484	8.853483	9.090128	9.39428
DHRS3	11.088191	10.502553	11.035478	9.69362	10.927039	11.390399	10.009661	10.330299	12.061954	10.090128	10.83547
AADACL4	0	0	0	2.0877693	0.49972585	1.4036089	0	0.9390559	0	0.3896887	0
PDPN	6.6242824	6.1995664	5.624917	8.940767	7.629009	7.932389	7.6921782	8.292203	10.476335	7.1311555	9.543466
PRDM2	8.911264	9.167857	9.412595	9.452342	9.187976	8.269857	8.927198	8.930577	8.930209	8.716118	8.965888
KAZN	7.390542	7.590888	7.4251475	7.826537	7.319905	6.807331	7.2918625	7.5756807	7.7530813	7.7905684	7.6296835
C1orf126	5.33888	6.240789	4.7211323	5.3204303	6.00752	5.278078	6.299167	6.1288805	4.7660203	5.9746513	5.589269
TMEM51	9.227623	8.727667	9.033723	9.129976	9.394544	9.531174	9.874382	9.634284	9.554855	10.336595	10.171497
FHAD1	3.33888	2.898397	4.0148635	5.350804	4.2001657	4.3422084	3.9177382	4.260984	3.9586654	4.2965794	3.8302774
EFHD2	11.996199	11.756378	12.306822	11.135439	11.670589	11.802353	10.77572	10.83084	11.193482	11.504732	11.505963
CELA2B	2.0758455	3.091042	1.7669362	2.0877693	0.49972585	1.4036089	2.9917388	0.9390559	2.543628	2.7116168	1.1298379
CASP9	8.408553	8.300495	8.381646	7.989843	7.913354	8.206664	7.854686	7.933409	7.9698925	8.320426	8.024655
DNAJC16	8.630434	8.724037	8.700626	8.204633	8.866048	8.066574	8.783553	8.839923	7.7001324	8.599142	8.593362
AGMAT	9.770726	9.576871	10.052339	8.702479	9.716472	10.655486	10.174629	10.157014	8.871554	10.723962	10.072352
DDI2	4.7539177	5.8724017	6.637301	5.788209	6.294142	5.2109637	6.5646286	6.414789	4.6591053	6.1970434	6.1071177
RSC1A1	5.820007	6.091042	6.381646	5.8951244	6.332616	4.9885716	6.299167	6.430909	5.0461283	6.171048	5.6216908
PLEKHM2	9.792836	9.801848	9.930586	10.009015	9.834	9.464305	9.69495	9.644689	10.975473	10.379792	10.434759
SLC25A34	9.630434	10.167857	10.456934	6.3805513	5.9591575	6.0281	6.177605	6.068339	4.7660203	5.711617	4.9371924
TMEM82	10.085954	9.290714	10.0592575	6.7770686	8.038885	9.042648	8.579703	8.219827	7.853483	9.177591	7.539229
FBLIM1	11.518789	11.439217	11.872845	10.857277	11.739623	11.328422	11.580078	11.739552	12.380731	12.237921	12.084397
UQCRHL	8.888344	8.982825	9.520153	8.32043	8.257949	9.040234	8.603501	8.373684	8.686586	9.033545	8.8577585
FLJ37453	6.5994077	6.448594	6.381646	6.955666	6.4304633	7.008471	6.37025	6.5089116	7.588022	7.1311555	7.289709
SPEN	9.986339	10.360168	10.599826	10.339488	10.454649	7.8630404	10.669106	10.482088	9.847408	10.557107	10.459634
ZBTB17	8.558048	8.529834	8.374267	8.4133	8.546849	7.731536	8.40113	8.278906	9.359545	8.917166	8.805795
HSPB7	8.304665	7.756378	7.313831	10.273636	10.186227	9.549966	10.027363	11.124551	13.016657	11.226528	11.57847
CLCNKA	0	0	0.7669362	0	1.821654	0	2.4771657	1.9390559	1.9586655	2.7116168	1.1298379
CLCNKB	0	0.09104211	0	1.3508037	3.2001655	2.8186464	1.9917388	3.108981	4.9586654	3.8491204	3.2997627
FAM131C	0.7539176	4.4833593	5.0148635	2.9357665	2.3070807	2.4036088	4.6240067	3.108981	3.7660203	5.2965794	2.4517658
EPHA2	9.675758	10.183799	9.808596	7.8102355	8.723727	7.302462	8.984961	8.600834	8.536095	7.539436	8.433619
ARHGEF19	6.963371	7.124465	6.321525	7.1921062	8.244559	8.066574	8.216705	7.739956	8.804155	8.623308	9.551903
RSG1	5.426343	5.220325	5.226368	5.466281	5.143582	5.4333563	4.669811	5.108981	5.8166466	5.599142	6.1071177
FBXO42	8.18437	8.178505	8.266782	8.6018915	8.453922	8.189334	8.741273	8.322761	9.077606	8.869469	8.884726
C1orf144	11.37322	11.223542	11.566217	11.157622	11.47629	11.76226	11.279913	11.516956	12.237115	11.742835	11.70585
NECAP2	9.656293	9.554566	9.652633	9.600312	9.599073	10.240711	9.237766	9.116475	10.14354	9.74504	9.613653
CROCCP3	5.180182	5.705752	3.936861	6.1921062	4.499726	4.1405745	5.027363	5.026519	5.1285906	5.3896885	5.0367284
NBPF1	7.982736	8.24586	8.242669	8.438267	8.646931	7.4625025	8.588674	8.790805	8.9359455	8.574564	8.676732
CROCCP2	8.784585	8.75282	8.005341	8.639285	7.9835415	7.8410144	8.087664	7.94468	8.108413	8.004398	7.9177403
MST1P2	9.24577	9.178505	8.052339	7.365754	7.213971	7.725537	8.871935	7.6255565	6.8166466	8.94811	7.850937
ESPNP	3.0758455	2.091042	3.2263677	0	4.4539223	3.9061093	4.7990937	3.8459466	0.95866543	4.637616	3.9371927
MST1P9	9.62274	10.299276	9.21402	8.253681	7.2546134	7.8410144	8.5827	7.3569083	6.513254	8.04074	8.066476
CROCC	7.719702	7.839235	7.1067863	8.335697	8.069581	6.546567	8.145544	8.278906	9.844362	8.725079	9.261695
MFAP2	6.33888	6.6608977	5.3518987	8.938269	10.418589	10.967123	10.038317	10.777472	13.647353	11.322641	12.118877
ATP13A2	9.535277	9.25846	9.652633	9.143052	9.242877	8.373236	8.618178	8.673765	8.9698925	9.093593	9.695891
SDHB	11.273063	10.852593	11.3094845	10.187906	10.5805435	11.700143	10.81638	10.70724	10.376518	11.088393	10.438177
PADI2	4.963371	6.068322	5.744216	7.4453216	9.609556	9.059438	8.313666	8.535246	7.740025	9.107365	8.405962
PADI4	1.33888	3.7914817	0	6.6606593	0	0	0	0	0	0	0
RCC2	10.214374	10.139529	9.831679	10.6081915	10.891506	9.827075	10.512946	10.48112	10.486142	10.40928	11.094179
ARHGEF10L	8.862442	9.305361	8.914141	9.80064	10.927563	10.320483	10.787454	10.55008	10.511334	11.201866	10.804913
IGSF21	2.7539175	1.6760045	1.3518987	0.76584136	1.0846884	0	1.2547731	0.9390559	0	2.3896887	2.1298378
KLHDC7A	4.146235	4.091042	3.4673758	4.0877695	7.9835415	7.2532744	6.6921782	6.278906	4.9586654	7.157873	6.469688
ALDH4A1	5.963371	5.7634673	5.624917	7.737385	7.261277	6.3104997	7.027363	7.414789	8.474365	7.579513	7.442721
IFFO2	6.522102	6.911221	6.2747307	8.101232	8.031107	5.7959266	7.2845206	7.6939435	7.94735	7.665813	8.269389
UBR4	10.879976	11.325261	10.88198	10.7178545	11.177886	9.6874695	11.333814	11.432411	10.766021	10.995169	11.182405
KIAA0090	8.748271	8.777542	8.425148	8.9482355	9.138162	8.422273	8.984961	9.256469	9.262446	8.751633	9.2947445
MRTO4	9.087073	9.012883	9.086608	8.49716	8.657073	9.566839	8.626913	8.538969	9.384931	9.269272	9.5644655
AKR7L	9.285299	9.616563	9.306095	7.1921062	3.7476532	3.6260014	3.9917388	4.331373	1.9586655	2.3896887	2.7148004
