ID	adj.P.Val 	P.Value	logFC
ACER3	0.031548936	5.07E-04	1.3162436
CREBZF	0.023940785	2.23E-04	0.95994186
TMEM135	0.01874361	1.26E-04	1.2455273
FAM76B	0.043168522	0.00150944	1.2624784
CCDC82	0.032767702	6.55E-04	1.0792041
CASP1	0.035452466	8.19E-04	1.0200338
SLC35F2	0.036367223	8.75E-04	1.198277
CUL5	0.009834325	1.10E-05	0.9170384
ALG9	0.018372724	1.08E-04	0.52801704
H2AFX	0.02692963	3.23E-04	-1.076045
DCPS	0.015034214	5.16E-05	-0.7185287
RAD51AP1	0.039410226	0.001170773	1.0267916
PTMS	0.04434906	0.001633794	-1.4819498
CSDA	0.039740838	0.00120461	-0.8029947
CREBL2	0.009441776	7.20E-06	0.7153158
PLEKHA5	0.028728398	3.71E-04	0.8611069
PYROXD1	0.038410176	0.001039999	2.005527
KRAS	0.02343135	1.96E-04	0.77571964
CCDC91	0.036367223	8.73E-04	0.73266846
ALG10B	0.046847753	0.001917309	1.2917604
SLC2A13	0.0316745	5.50E-04	1.9978361
TWF1	0.0438191	0.001564986	1.3054252
AAAS	0.032767702	6.48E-04	-0.705185
SUOX	0.026609125	2.90E-04	-0.6250477
USP15	0.045755766	0.001828465	1.1783738
TBK1	0.03446095	7.63E-04	0.53885365
LEMD3	0.04456651	0.001670401	1.7100143
CAND1	0.0316745	5.50E-04	1.1303968
RAP1B	0.039362423	0.001159624	1.1198535
NUP107	0.04002895	0.001215615	0.64149183
FRS2	0.015034214	5.28E-05	0.75756073
TMTC3	0.038155176	0.001019316	1.0126085
TMCC3	0.028220657	3.52E-04	1.576684
VEZT	0.017653108	9.52E-05	0.6201773
SCYL2	0.024802743	2.47E-04	1.1148987
GAS2L3	0.015034214	5.63E-05	1.5291424
TDG	0.032767702	6.64E-04	0.8283076
KIAA1033	0.029743837	3.98E-04	1.9216824
ERP29	0.030427525	4.32E-04	-0.54216385
TAOK3	0.036367223	8.68E-04	0.8663502
OASL	0.043056596	0.001500639	2.2267036
CAMKK2	0.035452466	8.18E-04	0.34397793
C12orf65	0.041484557	0.001338169	-1.1207633
ZNF664-FAM101A	0.030713856	4.52E-04	-1.6877183
NOC4L	0.03084849	4.57E-04	-0.69289833
ZNF268	0.0387722	0.001073865	0.9790921
IFT88	0.044853967	0.001705861	0.96187735
ZDHHC20	0.046126198	0.001882542	1.8326039
MTMR6	0.04839074	0.002029817	1.4461088
CDK8	0.042688336	0.001470842	0.88553
UBL3	0.03769904	9.73E-04	0.8743934
USPL1	0.038155176	0.001025514	0.5596289
SUCLA2	0.039410226	0.001168279	1.3026423
RB1	0.025624868	2.65E-04	0.75409794
FNDC3A	0.0401157	0.001231912	0.73420143
OLFM4	0.030427525	4.36E-04	2.4714975
PIBF1	0.04257313	0.001461959	1.4947467
MBNL2	0.030071411	4.15E-04	0.82068866
LIG4	0.015029685	2.97E-05	1.2697678
ABHD13	0.045790903	0.00184009	1.0663856
RPPH1	0.031598326	5.29E-04	-3.2685704
ZNF219	0.020927675	1.47E-04	-0.949131
RBM23	0.037137497	9.30E-04	-0.4995222
CMTM5	0.048636388	0.002071139	-3.4420302
G2E3	0.027057823	3.26E-04	1.1505919
HEATR5A	0.037137497	9.34E-04	1.0816946
SEC23A	0.04257313	0.001463652	1.2516241
GEMIN2	0.040287126	0.00124175	1.1410098
TRAPPC6B	0.0438191	0.001559931	0.9449668
FBXO33	0.030189406	4.19E-04	0.7622757
TXNDC16	0.03782207	9.85E-04	0.73574686
STYX	0.026652822	3.17E-04	0.6668019
BMP4	0.041484557	0.001340217	-1.2074423
GMFB	0.025130816	2.57E-04	1.9376688
SOCS4	0.038155176	0.001021625	0.9871244
EXOC5	0.033705153	7.15E-04	1.0658616
PPM1A	0.0438191	0.001545327	0.9723167
PRKCH	0.031890955	5.96E-04	1.7688825
ZBTB1	0.037989073	9.96E-04	0.7883048
MPP5	0.049180865	0.002154128	1.1629744
SLC39A9	0.031847183	5.72E-04	0.9638862
FCF1	0.042777617	0.001487149	0.7949519
GTF2A1	0.030547343	4.47E-04	1.0979414
SEL1L	0.032767702	6.65E-04	0.9780149
CPSF2	0.03191301	6.02E-04	0.6179409
PPP2R5C	0.045205362	0.001780298	0.42613983
EIF5	0.03739025	9.55E-04	1.1071358
TRMT61A	0.016834708	6.94E-05	-1.2571344
CXADRP2	8.29E-05	4.70E-09	3.860593
NIPA2	0.037137497	9.09E-04	0.51049715
TYRO3	0.031487543	4.88E-04	-1.1140898
UBR1	0.0424156	0.001393034	1.1830564
CTDSPL2	0.039052423	0.001122018	1.3559966
SEMA6D	0.025624868	2.74E-04	1.3056059
USP8	0.0442017	0.001619091	0.8033857
TRPM7	0.023675116	2.04E-04	1.5133147
SPPL2A	0.037137497	9.15E-04	1.6330972
MAPK6	0.033705153	7.18E-04	1.4279795
ARPP19	0.037137497	9.27E-04	1.0243243
RAB27A	0.037135996	9.06E-04	1.1837543
ADAM10	0.0392689	0.00114581	0.8309631
BNIP2	0.009834325	1.16E-05	0.86973333
CLPX	0.04854245	0.002056001	0.65383816
RAB11A	0.031548936	5.19E-04	0.8464556
GLCE	0.031487543	4.89E-04	1.40482
C15orf17	0.042557966	0.001416273	-0.43855482
HMG20A	0.037720498	9.77E-04	1.0495243
IREB2	0.031847183	5.82E-04	1.1650047
ZFAND6	0.04257313	0.001447183	1.125681
BTBD1	0.015034214	4.62E-05	0.76340103
ZSCAN2	0.048635148	0.002064999	-0.54128844
TMEM8A	0.0442017	0.001620514	-0.51456165
RAB40C	0.039410226	0.001176345	-0.751587
WDR24	0.0401157	0.001222935	-0.73752874
RPUSD1	0.049972855	0.002205127	-1.0466156
UBE2I	0.026652822	3.02E-04	-0.59244436
TELO2	0.039410226	0.001170022	-0.88917536
TRAF7	0.03931774	0.001153844	-0.4598532
E4F1	0.018372724	1.15E-04	-0.9083309
RNPS1	0.0438191	0.001581935	-0.4795427
C16orf59	0.009882591	1.23E-05	-1.2833328
NTN3	0.04854245	0.0020552	-1.9801393
ZNF205	0.026652822	3.09E-04	-1.2011776
ZNF263	0.04456651	0.001660246	-0.8936309
FAM100A	0.009441776	5.32E-06	-0.76669306
TMC5	0.01756529	8.38E-05	2.184784
ERI2	0.0442017	0.001616627	0.77838707
KIF22	0.035452466	8.17E-04	-0.7003021
MAZ	0.018372724	1.18E-04	-0.9792041
C16orf53	0.015034214	3.98E-05	-0.96669674
CDIPT	0.040670373	0.001265106	-0.70096105
TBC1D10B	0.045291368	0.001793017	-0.76279926
MYLPF	0.016977346	7.36E-05	-2.5493724
ZNF48	0.023940785	2.26E-04	-0.91996384
ZNF785	0.044772584	0.001695142	-0.55750984
PRR14	0.0316745	5.36E-04	-0.82805246
CTF1	0.026652822	3.16E-04	-1.4898453
PHKB	0.018372724	1.11E-04	0.8724995
RBL2	0.0360924	8.44E-04	0.49386117
MT1L	0.009441776	7.16E-06	1.9732558
RSPRY1	0.032767702	6.45E-04	0.8528714
ACD	0.0408008	0.00127379	-0.82723
VPS4A	0.04839074	0.0020299	-0.76870245
COG8	0.023216622	1.86E-04	-0.79218
TMED6	0.037137497	9.38E-04	2.1366446
VAC14	0.04257313	0.001462383	-0.52085495
FTSJD1	0.032444123	6.32E-04	1.4334083
BCAR1	0.04495878	0.001731884	-1.1525286
WWOX	0.048853442	0.002124183	-0.52270603
ATMIN	0.031847183	5.92E-04	0.42860883
FBXO31	0.032377522	6.25E-04	-0.30910397
MGC23284	0.031847183	5.93E-04	-1.1934757
ACSF3	0.025624868	2.63E-04	-0.34662247
C17orf97	0.016834708	6.61E-05	-1.1909761
DPH1	0.015009591	2.64E-05	-0.96549225
DVL2	0.044603806	0.001677168	-0.7708578
CTDNEP1	0.041484557	0.001342238	-0.71914864
GPS2	0.0360924	8.40E-04	-0.64080137
MAP2K4	0.0341321	7.45E-04	0.41182038
CDRT15P1	0.04257313	0.001433048	1.8661239
MED9	0.024004186	2.30E-04	-0.35775372
FAM18B1	0.024802743	2.48E-04	1.5689658
TMEM11	0.040525112	0.001258287	-0.8836241
GIT1	0.039078724	0.00113352	-0.9540691
GGNBP2	0.039003514	0.001108972	0.834919
C17orf78	0.030427525	4.37E-04	1.7841182
STAC2	0.037137497	9.24E-04	-1.9663393
THRA	0.040525112	0.001255623	-0.7150831
HSD17B1	0.047382977	0.001958041	-0.8844843
CDC27	0.03191301	6.03E-04	0.7041864
UBE2Z	0.0438191	0.001564112	-0.32704258
FAM117A	0.036367223	8.64E-04	-1.0018435
MMD	0.038456623	0.001047423	1.5060253
DHX40	0.04456651	0.001666728	0.87496847
MIR5047	0.045502942	0.001810613	1.0681262
GNA13	0.0316745	5.40E-04	1.00846
ABCA5	0.045029327	0.001742881	3.2077098
KCNJ2	0.031847183	5.63E-04	2.8235292
H3F3B	0.034020215	7.34E-04	0.7157316
TRIM65	0.023500182	1.99E-04	-0.75790644
PGS1	0.022041235	1.63E-04	-0.7110753
NPB	0.048811924	0.002119351	-1.6016507
ZFP161	0.038456623	0.001049153	0.70777756
PPP4R1	0.016977346	7.43E-05	0.6748962
NAPG	0.044603806	0.001678624	0.76125103
CHMP1B	0.048789818	0.002106729	0.6894083
ESCO1	0.04495878	0.001723365	0.7534623
RBBP8	0.022041235	1.61E-04	0.7848511
RNF125	0.009834325	1.05E-05	1.1446671
RNF138	0.045029327	0.001744562	1.3929873
MEP1B	0.015034214	4.86E-05	5.7018127
PIAS2	0.044388056	0.001642313	0.3760195
HDHD2	0.04102897	0.001295453	0.91834307
SMAD4	0.028047524	3.45E-04	0.549944
PMAIP1	0.022041235	1.62E-04	2.3017256
TMX3	0.025130816	2.56E-04	1.2439027
SHC2	0.045887325	0.001853777	-1.411273
CDC34	0.031847183	5.84E-04	-1.4298315
BSG	0.0438191	0.001570782	-0.7065706
WDR18	0.03885565	0.001079942	-0.87528896
C19orf6	0.032031864	6.11E-04	-0.9487095
STK11	0.044323787	0.001630347	-0.93845844
MEX3D	0.036615193	8.85E-04	-1.6252041
MBD3	0.04257313	0.001429056	-1.5126171
CSNK1G2	0.04733247	0.001953018	-0.93575376
BTBD2	0.02133979	1.52E-04	-0.9494648
SF3A2	0.041401476	0.001328528	-0.6570873
SGTA	0.04149448	0.001345842	-0.47527602
THOP1	0.031890955	5.97E-04	-0.713068
EEF2	0.033062097	6.76E-04	-0.7463483
SIRT6	0.04733247	0.001945632	-0.8492755
CCDC94	0.044034358	0.001599704	-0.54598904
NRTN	0.042570625	0.001425706	-1.6914673
RANBP3	0.038560748	0.001059397	-0.71966076
ZNF358	0.029227953	3.83E-04	-1.0180798
LOC388499	0.026652822	3.18E-04	-0.69706875
MAP2K7	0.038155176	0.001024415	-0.90542406
ZNF414	0.04276809	0.001476017	-0.765647
EIF3G	0.0438191	0.001546067	-1.0391512
ZGLP1	0.0341321	7.46E-04	-1.3187594
CDC37	0.039003514	0.001108695	-0.53132623
KEAP1	0.037989073	9.95E-04	-0.893239
C19orf38	0.041402664	0.001332537	-2.1665192
ZNF136	0.035220034	7.96E-04	0.5800285
ZNF791	0.049972855	0.002211901	0.8947787
FARSA	0.015034214	4.58E-05	-0.7669143
RAD23A	0.018372724	1.06E-04	-0.57771015
TRMT1	0.019776328	1.35E-04	-0.76574135
SAMD1	0.0316745	5.51E-04	-1.195033
ASF1B	0.033705153	7.18E-04	-0.64344686
PTGER1	0.038155176	0.001018305	-1.7843494
CYP4F12	0.04854245	0.002052753	1.513062
DDA1	0.026652822	3.14E-04	-0.8038559
BST2	0.0401157	0.001228793	-1.5267735
FAM129C	0.049972855	0.002212569	-1.4927305
JUND	0.048864886	0.002130213	-0.8223066
SSBP4	0.0360924	8.41E-04	-1.3325577
ISYNA1	0.033101093	6.79E-04	-1.5726013
TMEM161A	0.015034214	3.55E-05	-0.7571172
SUGP1	0.0451032	0.001758864	-0.49691582
ZNF429	0.023940785	2.28E-04	0.7599873
ZNF100	0.0438191	0.001571176	0.89093786
LRP3	0.029737897	3.97E-04	-1.1739378
WTIP	0.04149448	0.001347269	-2.1361809
ZNF181	0.023217442	1.88E-04	0.98787355
RBM42	0.0220789	1.65E-04	-0.7372103
THAP8	0.01756529	9.02E-05	-1.2486029
SARS2	0.049180865	0.00215517	-0.8273869
EID2B	0.04961002	0.002179608	-0.869781
C19orf47	0.01756529	8.60E-05	-0.96886826
SNRPA	0.032767702	6.62E-04	-0.65496534
ERF	0.037599117	9.67E-04	-0.9002742
XRCC1	0.036121827	8.52E-04	-0.6532888
TOMM40	0.015034214	3.66E-05	-1.0952091
PPP1R37	0.04102897	0.001292819	-0.82343197
VASP	0.04824193	0.002015443	-0.7544909
IRF2BP1	0.033705153	7.14E-04	-1.2577752
STRN4	0.045115918	0.001763966	-0.7592497
GLTSCR2	0.015034214	4.15E-05	-0.8045731
GRWD1	0.013677212	1.94E-05	-0.8356848
BCAT2	0.033279333	6.91E-04	-0.71625614
RUVBL2	0.032767702	6.59E-04	-0.80245304
IRF3	0.028594688	3.61E-04	-0.67252254
AKT1S1	0.0438191	0.001557402	-1.122695
ATF5	0.026652822	3.00E-04	-0.6808262
ZNF473	0.031548936	5.03E-04	-0.5355486
CTU1	0.031548936	5.14E-04	-1.6998262
VSIG10L	0.035261385	8.00E-04	-1.094563
ZNF808	0.04830856	0.002020969	1.1112199
ZNF347	0.031487543	4.79E-04	0.98931074
ZNF765	0.037599117	9.65E-04	1.0619478
PRPF31	0.030071411	4.12E-04	-0.65322495
HSPBP1	0.02076319	1.45E-04	-0.9776821
ZNF579	0.03502859	7.89E-04	-1.4524813
FIZ1	0.039052423	0.001124035	-0.9065628
U2AF2	0.03739025	9.55E-04	-0.5258761
ZNF787	0.01756529	8.88E-05	-0.91734695
ZNF444	0.031548936	4.95E-04	-1.1721487
ZNF587B	0.02133979	1.53E-04	1.6536198
ZBTB45	0.033705153	7.20E-04	-1.0005916
ADAM17	0.018372724	1.20E-04	0.6253686
DNAJC27	0.0316745	5.44E-04	0.59512806
HADHB	0.04587497	0.001848852	0.80757326
PPP1CB	0.025130816	2.55E-04	1.7879324
SPDYA	0.04824193	0.002014442	-1.4830567
SLC30A6	0.036121827	8.49E-04	1.0157051
FEZ2	0.01756529	8.43E-05	1.1118608
FAM82A1	0.04854245	0.002053845	1.014503
LOC375196	0.016977346	7.54E-05	-2.4285157
MAP4K3	0.025624868	2.73E-04	1.3468146
PKDCC	0.009441776	4.89E-06	-1.3211707
PPM1B	0.042469896	0.001401841	0.7460126
PREPL	0.03896413	0.001094789	0.85619164
SOCS5	0.026652822	2.99E-04	0.78715277
RTN4	0.044874348	0.001709195	0.7905197
FANCL	0.031548936	5.09E-04	0.48840615
PEX13	0.045790903	0.001837898	1.0027913
KIAA1841	0.030189406	4.20E-04	1.0391124
UGP2	0.038456623	0.001051154	0.38383293
VPS54	0.02343135	1.92E-04	1.0551639
RAB1A	0.029313115	3.88E-04	0.68597126
ACTR2	0.037137497	9.36E-04	0.8199157
PPP3R1	0.030547343	4.46E-04	0.8080702
PCBP1	0.009441776	7.52E-06	-0.44401166
MRPL35	0.0396097	0.001194897	0.3909721
RNF103	0.044388056	0.001645309	0.7780352
EIF2AK3	0.018372724	1.22E-04	0.42440224
ITPRIPL1	0.0341321	7.46E-04	-1.1753416
FAM178B	0.030060166	4.10E-04	-1.7566766
TMEM87B	0.04733247	0.001953267	1.5485654
ACTR3	0.037137497	9.35E-04	0.8461542
INSIG2	0.0341321	7.39E-04	1.0698347
CCNT2	0.035452466	8.18E-04	1.6328483
UBXN4	0.022041235	1.64E-04	0.81701756
DARS	0.0392689	0.001147936	0.8481207
SPOPL	0.0442017	0.001620961	0.9301839
ORC4	0.047510438	0.001968702	0.9195709
ARL5A	0.028047524	3.45E-04	1.4465055
STAM2	0.039558165	0.001187845	1.013388
PRPF40A	0.03347408	7.02E-04	0.7203693
7-Mar	0.044874348	0.001712552	0.7538681
KCNH7	0.035452466	8.17E-04	2.1705317
SCN7A	0.041085895	0.001307644	1.9741144
STK39	0.042777617	0.001487754	0.7287149
SP3	0.0341321	7.43E-04	0.65276337
ATF2	0.041525185	0.001350623	0.9485111
TTC30A	0.023675116	2.06E-04	0.7836518
SSFA2	0.031487543	4.78E-04	0.9085674
NCKAP1	0.01756529	9.18E-05	1.3793049
ANKAR	0.032767702	6.60E-04	0.7575753
OBFC2A	0.04579848	0.00184317	1.9498234
STK17B	0.031487543	4.87E-04	1.4657197
GTF3C3	0.015034214	5.34E-05	0.808342
SF3B1	0.02427738	2.37E-04	0.73297495
BZW1	0.0460758	0.001876436	0.7256232
CASP10	0.03739025	9.52E-04	1.3121686
NDUFS1	0.023940785	2.15E-04	1.1175203
CCNYL1	0.048646104	0.002087555	0.76760143
LANCL1	0.016977346	7.71E-05	1.2583561
OBSL1	0.036420606	8.79E-04	-1.0910949
COPS7B	0.039419483	0.001179745	-0.44036773
SCARNA6	0.04854245	0.002052478	-3.032744
RAMP1	0.04928268	0.002162429	-1.3234663
CAPN10	0.03239862	6.27E-04	-0.80695677
PPP1R7	0.04102897	0.001292675	-0.47165686
BOK	0.045790903	0.001836043	-1.804286
THAP4	0.038456623	0.001054354	-0.60580444
ZCCHC3	0.030547343	4.47E-04	-0.5561304
NOP56	0.032335564	6.21E-04	-0.7337351
FAM113A	0.049972855	0.002210926	-0.955245
CENPB	0.042344417	0.00138448	-1.3294525
SMOX	0.023217442	1.88E-04	-0.7886257
PLCB1	0.04119249	0.00131642	1.1787376
ZNF133	0.023940785	2.23E-04	-0.71276426
CTNNBL1	0.032767702	6.65E-04	-0.32281017
SNORA71A	0.032767702	6.58E-04	-1.9102405
SERINC3	0.0438191	0.001576816	0.6415663
PCIF1	0.044643063	0.001687704	-0.654747
TMEM189	0.039410226	0.001176692	-0.7983293
ZBP1	0.0316745	5.49E-04	3.2641878
EDN3	0.039362423	0.001158705	1.1333942
PCMTD2	0.0442017	0.001619162	0.77218527
MIR3648	0.0392689	0.001146062	-4.8069086
MIR3687	0.034803253	7.78E-04	-4.995613
USP25	0.048636388	0.002077556	0.8099766
GABPA	0.023940785	2.24E-04	0.98362637
LTN1	0.017653108	9.45E-05	1.5542321
USP16	0.02294798	1.76E-04	0.75727075
LINC00114	0.029305186	3.86E-04	1.5406353
RRP1	0.031548936	5.23E-04	-0.60634136
C21orf2	0.0438191	0.001578993	-1.1495466
FAM207A	0.022784848	1.72E-04	-1.1209159
TBX1	0.015034214	5.12E-05	-1.1593972
GNB1L	0.030914595	4.60E-04	-1.206477
RANBP1	0.047510438	0.001966515	-0.8507452
SMARCB1	0.02343135	1.93E-04	-0.9212551
CRYBB2P1	0.031548936	5.06E-04	-0.41906688
EMID1	0.015034214	4.19E-05	-1.4086008
CSNK1E	0.015034214	4.10E-05	-0.85408115
POLDIP3	0.048728414	0.002096619	-0.45043752
ARFGAP3	0.023851886	2.11E-04	0.90149117
PRR5	0.036367223	8.73E-04	-0.81979084
PKDREJ	0.04393629	0.00158866	1.5653629
ALG12	0.015034214	4.79E-05	-0.42165086
TRABD	0.039410226	0.001174572	-0.76434803
ARL8B	0.045205362	0.001785942	0.8649664
EDEM1	0.031487543	4.83E-04	0.7746177
TADA3	0.048864886	0.002130228	-0.87677854
RAF1	0.028139	3.50E-04	0.3984756
CAPN7	0.04854245	0.002055045	0.89396286
NR1D2	0.028728398	3.72E-04	1.0268388
SLC4A7	0.031548936	5.00E-04	1.961903
CLASP2	0.04257313	0.001459631	1.0270275
PDCD6IP	0.034400363	7.56E-04	0.786519
EPM2AIP1	0.0318165	5.56E-04	0.751676
GORASP1	0.031847183	5.90E-04	-0.41044527
ANO10	0.0390354	0.001114537	0.8649244
TMEM115	0.0360924	8.42E-04	-0.7743254
RRP9	0.040525112	0.001252151	-0.81864214
FAM116A	0.018372724	1.22E-04	1.0994868
SYNPR	0.04733247	0.001948148	2.5323138
TMF1	0.041401476	0.001328832	0.710102
GBE1	0.031487543	4.88E-04	1.1137409
CGGBP1	0.035261385	8.01E-04	0.72735506
SENP7	0.03718403	9.41E-04	0.8875036
ZBTB11	0.015034214	5.58E-05	0.9095106
ZPLD1	0.03325763	6.87E-04	2.213122
CD47	0.045291368	0.001799623	0.9392166
PLCXD2	0.02887057	3.75E-04	2.2086105
C3orf52	0.041080892	0.001301194	2.3823962
ZBTB20	0.032767702	6.66E-04	-2.1485658
KPNA1	0.03191301	6.06E-04	0.5339289
ZNF148	0.037137497	9.33E-04	1.0062332
SNX4	0.045205362	0.00178161	2.0854287
RUVBL1	0.0438191	0.001547804	-0.59844965
EEFSEC	0.01475596	2.27E-05	-0.7056837
CCDC48	0.048811924	0.002118316	-1.4324908
RASA2	0.0387722	0.00107401	1.89288
GK5	0.02427738	2.40E-04	1.1683016
XRN1	0.031598326	5.29E-04	1.6762948
MBNL1	0.031847183	5.86E-04	1.1810694
MME	0.048234735	0.002009667	2.0714111
MFSD1	0.014125429	2.08E-05	1.0491027
SEC62	0.033101093	6.80E-04	0.73134893
SKIL	0.042570625	0.001424788	1.4684649
TBL1XR1	0.045887325	0.001864729	1.4465046
PEX5L	0.031487543	4.75E-04	2.920845
TTC14	0.040088363	0.001219695	0.7151065
CCDC50	0.036367223	8.64E-04	0.67586994
ACAP2	0.036752567	8.93E-04	1.3138775
FYTTD1	0.03677617	8.96E-04	0.3956518
CTBP1	0.031548936	5.15E-04	-0.6002988
FAM53A	0.04495878	0.001731672	-2.2983854
WHSC2	0.025624868	2.73E-04	-0.91854954
HAUS3	0.031548936	4.99E-04	0.87985086
MXD4	0.033712693	7.23E-04	-1.2511702
FAM86EP	0.0438191	0.001553727	-1.0152674
FBXL5	0.04495878	0.00172728	1.110425
