ID	adj.P.Val	P.Value	logFC
GATA3	0.008935666	3.85E-04	-3.3251677
SFTA1P	0.041524563	0.00418178	-3.8709908
OPTN	0.036254004	0.003356433	-1.2377375
BEND7	0.04552296	0.004808891	-2.300146
SUV39H2	0.021442145	0.001494633	0.5549956
NMT2	0.04411918	0.004577957	-0.429966
MRC1	0.005306964	1.65E-04	-2.5353076
NEBL	0.028130498	0.002270339	-1.2297173
PIP4K2A	0.03181848	0.002759757	-1.1506947
APBB1IP	0.012365927	6.39E-04	-6.0439186
BAMBI	0.012081912	6.16E-04	2.787468
LOC387647	0.03923975	0.003811047	-4.719453
HSD17B7P2	0.003183197	7.46E-05	-4.011069
LOC399744	4.63E-04	3.77E-06	-4.822238
LOC84856	0.042927448	0.004400691	-2.546273
ALOX5	0.03562836	0.003263649	-2.2970204
WDFY4	0.004677025	1.33E-04	-5.1138353
C10orf128	2.10E-04	7.74E-07	-5.161045
DKK1	0.036705624	0.00342773	3.4066145
CDK1	0.04863497	0.005341923	0.9824219
ATOH7	0.034086317	0.003035785	-1.664598
SRGN	0.027664438	0.002201431	-7.2870407
NEUROG3	0.020187126	0.001354441	1.5200043
PRF1	3.15E-04	1.75E-06	-6.833124
SLC29A3	0.006087496	2.07E-04	2.1032753
C10orf105	0.007266854	2.78E-04	-1.7426662
C10orf54	0.025606288	0.001962223	-1.5774403
SPOCK2	2.98E-04	1.56E-06	-4.0262804
DDIT4	0.013905443	7.51E-04	-1.51443
ECD	0.026100637	0.002017884	0.2759666
DNAJC9	0.020612393	0.001408056	0.24691583
SYNPO2L	0.026872462	0.002104032	4.920869
AGAP5	0.039293036	0.003831835	-0.7069001
NDST2	0.03531859	0.003223721	-0.62757397
GRID1	0.026308516	0.002041423	-1.6169453
C10orf116	0.007927505	3.23E-04	-7.229816
AGAP11	0.011494745	5.66E-04	-3.7281928
FAM22A	0.018884359	0.001223083	-2.2956662
PTEN	0.034738798	0.003136753	-0.28082272
LOC643529	1.63E-04	5.10E-07	-6.7585554
TCTN3	0.008625553	3.66E-04	0.8754463
LOC728558	0.020470377	0.001386227	-1.7145745
PIK3AP1	0.015517104	9.13E-04	-2.0706534
MMS19	0.009684186	4.38E-04	0.25863647
PKD2L1	0.004834706	1.40E-04	-3.459946
KAZALD1	0.03112816	0.002663584	0.95926
NFKB2	0.039562963	0.003889189	-0.9022522
NT5C2	0.04163115	0.004208724	0.422739
NEURL	0.041010596	0.004106414	0.8982634
LOC100505839	0.030296182	0.002533137	1.5996097
MIR4482-1	0.003862111	1.00E-04	3.9142053
MXI1	0.00662413	2.39E-04	-0.92186356
GPAM	0.008440275	3.55E-04	0.4768929
HABP2	0.040608805	0.00403717	2.731471
SLC18A2	0.04192951	0.004250786	-1.2111977
FAM45B	0.011708791	5.78E-04	0.6166053
DMBT1	0.008222049	3.41E-04	1.9917601
FAM24B	9.72E-05	2.37E-07	-4.363847
LOC399815	2.69E-04	1.30E-06	-2.2978795
PTPRE	0.008578811	3.62E-04	-1.3296647
PWWP2B	0.010335829	4.83E-04	0.99847746
ADAM8	0.030590681	0.002583807	-2.689746
SIRT3	0.023135977	0.001687897	0.60239214
NLRP6	0.004913081	1.44E-04	-4.4042645
IRF7	0.020679701	0.001421495	-1.529748
TMEM80	0.012148446	6.21E-04	-0.8172541
LOC255512	0.007795424	3.14E-04	-1.0926018
TNNI2	0.016948469	0.001041902	-2.4243097
LSP1	5.75E-04	5.10E-06	-3.4705667
IGF2-AS1	0.028130498	0.002267753	4.4273534
TRPM5	0.029119888	0.002385196	-2.7863195
CDKN1C	0.006753679	2.50E-04	2.758998
TRIM21	0.045157466	0.004749775	0.8016281
HBB	2.42E-04	1.10E-06	-10.249806
TRIM22	0.014329907	7.88E-04	-1.4943686
CCKBR	0.032891244	0.002886991	3.5549698
FXC1	0.036564656	0.003399722	0.5605135
GVINP1	0.001780485	3.12E-05	-4.5715456
ZNF214	0.035087574	0.003179956	1.8106546
CYB5R2	0.026799368	0.00209168	1.321024
SWAP70	0.007895596	3.20E-04	-1.1255826
ADM	0.021978019	0.001553195	-1.7852745
AMPD3	0.010839623	5.16E-04	-1.8034323
MRVI1-AS1	0.014229838	7.79E-04	-2.701251
CALCB	0.03181047	0.002755451	-3.4054508
NUCB2	0.043948516	0.004552764	-0.48048785
PTPN5	0.014695275	8.19E-04	-3.28101
NELL1	0.028530091	0.002323172	4.361746
BBOX1	0.001516824	2.38E-05	4.1094623
CCDC34	0.013692659	7.38E-04	1.3767166
LGR4	0.01201821	6.09E-04	0.95031923
BDNF-AS1	0.032489948	0.002843816	0.50733423
WT1	0.022538051	0.00161708	5.2127414
WT1-AS	0.025426196	0.001939763	2.589449
TCP11L1	0.02966351	0.002436459	-0.9984884
GYLTL1B	0.022897845	0.001655892	1.368772
CHRM4	0.03906528	0.003765275	-2.0777955
SPI1	0.03928121	0.003823182	-4.0014496
NUP160	0.007032907	2.64E-04	0.5302171
FOLH1	4.60E-04	3.60E-06	-12.030418
SLC43A1	0.028130498	0.002270623	1.1237841
SERPING1	0.038374074	0.00366598	-0.956645
YPEL4	0.015416941	8.98E-04	-2.0772614
LPXN	0.001699698	2.83E-05	-2.2600794
GLYATL1	0.003216865	7.67E-05	4.236701
MPEG1	0.017072363	0.001054364	-7.5165434
MS4A2	2.18E-04	8.28E-07	-6.7425637
MS4A14	0.004899124	1.43E-04	-3.3334882
MS4A1	0.006724679	2.46E-04	-5.4134197
MS4A10	0.030712755	0.002597605	-7.45601
PTGDR2	0.006114793	2.10E-04	-2.24115
PRPF19	0.010870738	5.18E-04	0.27405646
SLC15A3	8.78E-04	1.04E-05	-1.9626608
CD6	9.18E-04	1.14E-05	-6.262906
CD5	1.04E-04	2.66E-07	-6.579535
SYT7	0.013993508	7.60E-04	-0.79091597
GNG3	0.039625186	0.003904713	-3.4484317
TAF6L	0.0475642	0.005154345	0.26737207
LGALS12	0.001829919	3.25E-05	-3.9222293
RARRES3	0.037831247	0.003588934	-2.2279577
HRASLS2	0.028274246	0.002285436	-5.237017
PLA2G16	0.03085371	0.002622407	-3.1683812
RTN3	0.006768911	2.51E-04	-0.34357923
FERMT3	0.013993508	7.61E-04	-1.0372123
VEGFB	0.041524563	0.004183806	0.65155125
CCDC88B	0.001714871	2.88E-05	-3.0729728
NAALADL1	0.03624234	0.003353032	-3.5425372
TM7SF2	0.002378018	4.72E-05	1.3227968
SIPA1	0.001847127	3.32E-05	-1.3241137
MIR4489	0.003696089	9.38E-05	-1.1369156
CTSW	0.023048814	0.00167466	-4.854645
CTSF	8.28E-06	3.76E-09	-8.959828
TBC1D10C	9.18E-04	1.14E-05	-6.9879813
PTPRCAP	0.001106579	1.47E-05	-3.6928968
CABP4	5.68E-04	4.93E-06	-3.0998528
GAL	0.021402476	0.001488224	-4.3525734
IL18BP	0.009439531	4.21E-04	-2.0232577
PHOX2A	0.03734358	0.003508181	-3.5802002
PDE2A	0.020731369	0.001428613	-1.9984617
STARD10	0.031004705	0.002645176	1.7589941
ATG16L2	0.029757189	0.002450796	-1.5095105
PAAF1	0.002794467	6.07E-05	0.6458631
UCP2	0.024448145	0.001830454	-1.6067429
UCP3	0.005465682	1.74E-04	-2.6137552
P4HA3	0.02904537	0.002375795	4.0812244
GDPD5	0.037630472	0.003554357	2.0240421
RAB38	0.04855831	0.005330747	1.3449454
NOX4	0.00768328	3.02E-04	3.152392
SNORA32	0.00284751	6.24E-05	1.4205314
CEP57	0.024961373	0.001881632	0.57428366
BIRC3	3.80E-04	2.57E-06	-3.977973
CASP1	0.01999213	0.001334061	-1.0686407
CARD16	0.019200467	0.001253131	-1.343379
SLN	0.03737795	0.003513714	2.7896917
ATM	0.03647773	0.003385428	-1.0682592
POU2AF1	0.007088359	2.69E-04	-6.494415
ALG9	0.012545833	6.55E-04	0.5519047
C11orf57	0.04484321	0.004689654	0.23449893
HTR3A	0.013993508	7.59E-04	-4.759095
ZBTB16	0.023447623	0.001720939	-3.2333264
CADM1	0.034686387	0.003113586	-1.3215628
IL10RA	0.021325191	0.001481639	-6.375026
AMICA1	1.15E-05	1.15E-08	-5.0351486
CD3E	2.76E-04	1.37E-06	-9.257515
CD3D	5.64E-04	4.84E-06	-7.9902854
CD3G	0.003370208	8.11E-05	-6.5486293
UBASH3B	0.022039045	0.00156001	-1.2784061
CRTAM	0.008935666	3.85E-04	-5.074584
ROBO3	0.004804658	1.38E-04	-2.1056743
STT3A	0.020374874	0.001375133	0.5324277
DCPS	0.035951577	0.003312108	-0.28319448
ETS1	0.044328175	0.004622289	-1.1986713
LOC100507392	0.049906775	0.005577933	-2.3416982
FLI1	0.006434303	2.28E-04	-3.0396862
AKAP3	0.022180848	0.001577521	-0.85011435
CD27	0.003254931	7.80E-05	-5.4548793
ACRBP	0.023048814	0.001674294	-3.1240816
LAG3	0.015517104	9.15E-04	-4.490516
CD4	0.001090778	1.44E-05	-1.7349424
USP5	0.015510731	9.08E-04	0.34281352
PTPN6	0.012834259	6.74E-04	-1.313343
C1RL	0.024081204	0.001793064	0.5597906
RBP5	0.020679701	0.001420746	-3.1272955
CD163L1	0.020593354	0.001405075	-7.1662025
CD163	0.031455	0.002700897	-5.3498077
CLEC4A	0.036902633	0.003457904	-3.28494
POU5F1P3	0.007032907	2.65E-04	-2.1749163
FAM90A1	0.03423216	0.003054726	-2.4691186
CLEC4E	9.04E-04	1.09E-05	-5.0288153
A2M	0.034192238	0.003049101	-0.97563267
PZP	0.033285674	0.002943695	-2.0229955
LOC100499405	0.020461582	0.00138447	-1.3922518
KLRB1	1.63E-04	5.27E-07	-8.73371
CLECL1	4.80E-04	3.98E-06	-3.5835056
CD69	0.001847127	3.33E-05	-6.4425397
CLEC12A	0.012365927	6.39E-04	-4.2460938
CLEC9A	5.30E-05	9.32E-08	-5.5614705
CLEC7A	0.003003404	6.84E-05	-5.970294
C12orf59	0.028797569	0.002347352	4.6696157
GABARAPL1	0.043726128	0.00452228	-0.77350706
KLRD1	9.14E-04	1.12E-05	-6.5037413
KLRC4	0.04695639	0.005045606	-2.2743971
KLRC2	0.005400438	1.70E-04	-3.1145272
KLRC1	0.002411464	4.82E-05	-4.162008
CREBL2	0.007895596	3.21E-04	-0.774931
GPRC5D	3.96E-04	2.70E-06	-3.9393802
LOC100506314	0.004354366	1.19E-04	-3.930842
PLBD1	0.04896044	0.005391568	-1.384635
ERP27	0.014284402	7.82E-04	4.520163
ARHGDIB	0.035646144	0.003269806	-3.2165208
PLEKHA5	0.030350436	0.002545408	0.79423714
LDHB	0.04993671	0.005592617	1.5423918
LRMP	0.018926924	0.001229063	-1.601552
BHLHE41	0.012250702	6.28E-04	1.8848596
ARNTL2	0.015238047	8.79E-04	1.2688074
TMTC1	0.027856413	0.002234269	-2.3364391
ABCD2	0.017260466	0.00107177	-1.7649703
IRAK4	0.040348325	0.004004568	-1.4968866
SLC38A4	0.023703724	0.001752178	3.9508348
LOC100233209	0.015255915	8.81E-04	-3.5535655
RAPGEF3	0.037586726	0.003545111	-1.621315
VDR	0.03582277	0.003296055	-2.2688522
COL2A1	0.01356404	7.28E-04	8.100092
WNT10B	0.034791447	0.003145983	-3.8823814
DHH	0.006108023	2.08E-04	-2.4148426
PRPH	0.015416941	8.99E-04	-3.9476001
SLC11A2	0.007651046	2.99E-04	0.686675
TFCP2	0.030295672	0.002531375	-0.97351736
BIN2	0.016884483	0.00103701	-6.035225
SCN8A	0.04989793	0.005574112	1.8255332
GRASP	0.031583685	0.002722133	-1.4825072
SPRYD3	0.009344816	4.13E-04	-0.85884005
ITGB7	4.60E-04	3.58E-06	-7.1775346
NCKAP1L	0.00164985	2.69E-05	-4.1175575
KIAA0748	4.22E-04	3.05E-06	-5.5557213
CDK2	0.01610307	9.64E-04	0.87232774
MYL6B	0.041104883	0.004120521	1.3895783
HSD17B6	0.00585175	1.96E-04	-3.0856035
TAC3	0.038750574	0.003726144	-2.435708
ARHGAP9	4.48E-05	7.12E-08	-5.058901
KIF5A	0.004913081	1.44E-04	-6.1245756
AGAP2	0.00142993	2.15E-05	-3.1864972
CDK4	0.03038415	0.002553514	1.3365889
9-Mar	0.042241126	0.004296764	0.6258269
AVIL	0.030226564	0.002522169	-1.4998088
PPM1H	0.048508685	0.005322546	0.9941334
GNS	0.013909311	7.52E-04	1.1998672
TBC1D30	0.027237143	0.002145947	0.8473463
HMGA2	0.019319404	0.001263323	3.5772972
HELB	0.005257626	1.63E-04	-2.6478777
CAND1	0.030900322	0.002632773	0.38792607
CNOT2	0.013224236	7.07E-04	0.37706274
ATXN7L3B	0.030505722	0.0025749	0.46131992
TMTC3	0.021665107	0.001527156	0.69126695
PLEKHG7	0.034686387	0.003113068	-1.5434963
SOCS2	0.010073588	4.68E-04	-2.5643272
AMDHD1	0.038556788	0.003690133	1.880089
TMPO	0.002990072	6.78E-05	0.3527412
NR1H4	0.036043607	0.003324679	1.4983006
ANO4	0.021587	0.001515759	2.9513464
PARPBP	0.047366846	0.005119287	1.4617742
PAH	6.63E-04	6.36E-06	7.783371
CHST11	0.010404295	4.88E-04	-1.6357282
CMKLR1	0.007433001	2.86E-04	-2.7570395
SELPLG	0.010354864	4.85E-04	-4.6838117
USP30	3.70E-04	2.38E-06	0.7785797
SH2B3	0.014771561	8.27E-04	-1.8197832
OAS2	0.009318749	4.11E-04	-3.1920948
SLC24A6	0.033546865	0.002976315	-1.0365944
SDS	0.020663587	0.001416778	-6.0483475
C12orf49	0.011858582	5.92E-04	0.8531818
HNF1A-AS1	0.006546949	2.35E-04	1.0717521
P2RX7	0.012519031	6.53E-04	-2.402593
WDR66	0.03319579	0.002926325	2.3871243
HCAR2	0.04566644	0.004842193	-2.8425732
PITPNM2	0.03860282	0.003700641	-1.4496984
C12orf65	0.00636058	2.23E-04	-0.46349093
RILPL2	0.03910542	0.003773583	-1.3021574
LOC387895	0.005109396	1.55E-04	-1.9425136
TMEM132D	0.03085371	0.00262704	-1.4438105
IFT88	0.0090799	3.94E-04	0.42386723
IL17D	0.022180848	0.00157752	1.3609676
RASL11A	0.014695275	8.18E-04	-1.5618129
FLT3	0.004669443	1.32E-04	-4.6556954
FLT1	0.00442653	1.22E-04	-4.184135
LINC00426	8.39E-06	4.85E-09	-3.5694623
ALOX5AP	0.002103288	4.01E-05	-3.1477222
N4BP2L1	0.025100624	0.001897405	-1.2842126
KL	0.002720207	5.82E-05	-2.6110206
RFC3	0.034247752	0.003061827	0.8458949
MAB21L1	0.016155105	9.68E-04	-4.221878
NHLRC3	0.002319574	4.57E-05	0.7332296
FOXO1	0.03327488	0.00294032	-1.2287717
EPSTI1	0.006767146	2.50E-04	1.1074114
LACC1	0.032439113	0.002837525	-1.4309182
SLC25A30	0.03752079	0.003533348	-0.5847554
LCP1	0.003444444	8.41E-05	-7.1780925
KIAA0226L	0.007616067	2.96E-04	-2.9240668
ARL11	7.84E-04	8.68E-06	-3.2367535
DLEU1	0.015595353	9.22E-04	0.79889774
ST13P4	0.046307996	0.004936506	0.40361357
WDFY2	0.044848517	0.004700783	-0.6434736
THSD1P1	0.032387372	0.002827789	0.6186037
EDNRB	0.038646877	0.003712416	-1.2337475
UGGT2	0.040909953	0.004083157	1.132257
GPR18	3.73E-04	2.48E-06	-4.49696
GPR183	0.015510731	9.09E-04	-2.763023
EFNB2	0.037862457	0.003602059	-1.1657065
TNFSF13B	0.005164952	1.59E-04	-3.3139935
F7	0.020837387	0.00144065	2.1252747
F10	0.04029197	0.003995576	1.6617012
GAS6	0.02355251	0.001734502	-1.0155401
FLJ41484	0.001455655	2.21E-05	-3.3935163
KLHL33	0.021011543	0.001455077	-2.0331562
RPGRIP1	0.036902633	0.003458378	-2.469188
CEBPE	0.004535674	1.25E-04	-4.856165
CPNE6	0.009937573	4.57E-04	-5.8299108
REC8	0.009498576	4.25E-04	1.6854105
ADCY4	0.020663587	0.001416905	-2.691368
CMA1	0.00142993	2.13E-05	-4.6086016
CTSG	0.001091256	1.44E-05	-7.241953
GZMH	0.001492378	2.31E-05	-3.9633834
GZMB	6.58E-05	1.57E-07	-4.77938
NFKBIA	0.012034643	6.12E-04	-1.4914474
FOXA1	0.004221234	1.14E-04	1.9499445
LOC283547	0.045493465	0.004803193	-2.079703
SAV1	0.006108023	2.09E-04	-0.48595616
PTGDR	0.040909953	0.004086332	-3.2086432
PTGER2	0.031455	0.002706805	-1.2027731
C14orf105	0.026341787	0.002045499	5.0366426
PRKCH	5.75E-04	5.12E-06	-3.7628493
HSPA2	0.035153266	0.003200649	-2.362505
GPX2	0.0419074	0.004246166	-1.3231697
SLC8A3	0.03860282	0.00370098	-3.0930057
SYNDIG1L	0.016472345	1.00E-03	-3.5822659
FOS	0.044328175	0.004619166	-4.397629
LOC731223	0.046900235	0.005028924	-1.9249161
BATF	0.008661673	3.69E-04	-4.164377
C14orf1	0.018870799	0.001221134	0.8744983
GPR65	0.039890174	0.003946675	-4.116712
KCNK13	0.039162427	0.003788868	-3.027557
RPS6KA5	0.007424396	2.85E-04	-0.83902544
SLC24A4	0.005110559	1.55E-04	-3.9580002
CHGA	0.030405877	0.002561294	1.2318009
PRIMA1	0.049804315	0.005552346	-2.2609768
